taxon	location
KR348953_2008-09-25_USA_CA_LosAngeles_-118.276_34.1375	South-CA
KR348950_2008-05-22_USA_CA_LosAngeles_-118.0964_33.9497	South-CA
W001_2007-10-02_bird_USA_CA_sandiego_-116.93_32.846	San-Diego
W003_2008-08-18_bird_USA_CA_sandiego_-116.97_32.784	San-Diego
W004_2009-05-13_bird_USA_CA_sandiego_-117.243_32.904	San-Diego
W011_2008-12-08_bird_USA_CA_sandiego_-116.802_33.016	San-Diego
W017_2007-03-19_bird_USA_CA_sandiego_-117.072_32.757	San-Diego
W018_2007-03-19_bird_USA_CA_sandiego_-117.335_33.239	San-Diego
W019_2007-10-02_bird_USA_CA_sandiego_-116.95_32.786	San-Diego
W020_2007-10-02_bird_USA_CA_sandiego_-117.328_33.246	San-Diego
W022_2008-02-06_bird_USA_CA_sandiego_-117.004_32.855	San-Diego
W023_2008-02-06_bird_USA_CA_sandiego_-117.067_33.105	San-Diego
W026_2008-05-14_bird_USA_CA_sandiego_-117.158_32.901	San-Diego
W027_2008-05-14_bird_USA_CA_sandiego_-117.092_33.028	San-Diego
W028_2008-06-11_bird_USA_CA_sandiego_-117.241_32.958	San-Diego
W029_2008-06-11_bird_USA_CA_sandiego_-117.255_32.999	San-Diego
W030_2008-06-25_bird_USA_CA_sandiego_-117.032_32.73	San-Diego
W031_2008-09-15_bird_USA_CA_sandiego_-117.14_32.958	San-Diego
W032_2008-06-25_bird_USA_CA_sandiego_-117.251_32.763	San-Diego
W033_2008-08-07_bird_USA_CA_sandiego_-116.969_32.844	San-Diego
W034_2008-08-07_bird_USA_CA_sandiego_-117.07_33.091	San-Diego
W035_2008-09-18_bird_USA_CA_sandiego_-117.289_33.032	San-Diego
W036_2008-09-18_bird_USA_CA_sandiego_-116.886_33.03	San-Diego
W037_2008-09-18_bird_USA_CA_sandiego_-117.01_33.228	San-Diego
W038_2008-12-01_bird_USA_CA_sandiego_-117.139_32.928	San-Diego
W039_2008-12-08_bird_USA_CA_sandiego_-117.058_32.951	San-Diego
W040_2008-09-15_bird_USA_CA_sandiego_-116.649_32.81	San-Diego
W041_2008-09-18_bird_USA_CA_sandiego_-116.766_32.837	San-Diego
